Sum of normalized_frequency	Column Labels										
Row Labels	Art	Children	Ethics	Jews	Language	Law	Literature	Politics	Religion	Science	Grand Total
1988	0.563969673	0.161735439	0.058922205	0.130470596	0.248315005	0.206227716	0.171956638	0.096800765	0.111230692	0.449732746	2.199361476
1989	0.583057253	0.146511823	0.05382067	0.088505101	0.222458767	0.182392269	0.161462009	0.120797503	0.097475213	0.498738204	2.155218811
1990	0.566086581	0.16683446	0.054652668	0.136919315	0.250826981	0.17603912	0.135193442	0.116208831	0.110455918	0.54710197	2.260319287
1991	0.582756677	0.180695241	0.061006432	0.131890095	0.255064986	0.214394032	0.17256105	0.135957191	0.1022584	0.521750245	2.35833435
1992	0.579194994	0.177151994	0.060392725	0.152419735	0.264002485	0.225466174	0.144942541	0.127112307	0.104105555	0.535482164	2.370270674
1993	0.552559824	0.173820326	0.052756968	0.242682053	0.247680082	0.233796669	0.145498165	0.141610809	0.105513936	0.491472808	2.38739164
1994	0.644246051	0.173861103	0.051198362	0.277857775	0.217059721	0.213859823	0.136528964	0.134929016	0.091197082	0.473584845	2.414322742
1995	0.602059949	0.176713842	0.054452521	0.302057381	0.212673054	0.192124933	0.15770683	0.130480569	0.100172091	0.472093083	2.400534251
1996	0.528660013	0.168558265	0.069977219	0.67627619	0.228830614	0.163450439	0.1675367	0.130249568	0.113393742	0.500566969	2.747499719
1997	0.613858257	0.181954866	0.058895917	0.249948526	0.232710697	0.171420637	0.157055779	0.128804892	0.124495434	0.462548422	2.381693425
1998	0.57974786	0.212526024	0.059757884	0.367221837	0.233248516	0.15855116	0.179273653	0.110359318	0.123371116	0.482400339	2.506457707
1999	0.591526933	0.193141773	0.066316849	0.21395655	0.218797196	0.162645703	0.186364869	0.132633699	0.114723309	0.501974984	2.382081865
2000	0.610370175	0.164239931	0.061178198	0.524250096	0.210829482	0.175534368	0.189652414	0.118120982	0.112473764	0.477189944	2.643839355
2001	0.648193963	0.186541316	0.051954478	0.640277091	0.202375062	0.170707571	0.154873825	0.122711529	0.118258288	0.471548738	2.76744186
